,Unnamed: 0,Unnamed: 0.1,X,Y,name,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
86,86,17,2.3582998,48.8757020997231,hôtel amiot,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3582998 48.8757020997231),13017
87,87,17,2.3582998,48.8757020997231,hôtel amiot,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3582998 48.8757020997231),13018
88,88,17,2.3582998,48.8757020997231,hôtel amiot,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3582998 48.8757020997231),13143
89,89,17,2.3582998,48.8757020997231,hôtel amiot,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3582998 48.8757020997231),13144
90,90,17,2.3582998,48.8757020997231,hôtel amiot,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3582998 48.8757020997231),13270
91,91,18,2.3515918,48.8476582997301,familia hôtel,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3515918 48.8476582997301),12895
92,92,18,2.3515918,48.8476582997301,familia hôtel,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3515918 48.8476582997301),13020
93,93,18,2.3515918,48.8476582997301,familia hôtel,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3515918 48.8476582997301),13021
94,94,18,2.3515918,48.8476582997301,familia hôtel,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3515918 48.8476582997301),13147
95,95,19,2.3514397,48.8477031997301,hôtel minerve,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3514397 48.8477031997301),12895
96,96,19,2.3514397,48.8477031997301,hôtel minerve,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3514397 48.8477031997301),13020
97,97,19,2.3514397,48.8477031997301,hôtel minerve,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3514397 48.8477031997301),13021
98,98,19,2.3514397,48.8477031997301,hôtel minerve,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3514397 48.8477031997301),13147
99,99,20,2.2342025,48.8824158997215,hôtel douglas,92062.0,puteaux,hosting,hotel,Hôtel,POINT (2.2342025 48.8824158997215),11253
100,100,20,2.2342025,48.8824158997215,hôtel douglas,92062.0,puteaux,hosting,hotel,Hôtel,POINT (2.2342025 48.8824158997215),11378
101,101,20,2.2342025,48.8824158997215,hôtel douglas,92062.0,puteaux,hosting,hotel,Hôtel,POINT (2.2342025 48.8824158997215),11379
102,102,20,2.2342025,48.8824158997215,hôtel douglas,92062.0,puteaux,hosting,hotel,Hôtel,POINT (2.2342025 48.8824158997215),11505
103,103,21,2.3450098,48.8456876997306,hôtel des grands hommes,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3450098 48.8456876997306),12769
104,104,21,2.3450098,48.8456876997306,hôtel des grands hommes,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3450098 48.8456876997306),12895
105,105,21,2.3450098,48.8456876997306,hôtel des grands hommes,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3450098 48.8456876997306),12896
106,106,21,2.3450098,48.8456876997306,hôtel des grands hommes,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3450098 48.8456876997306),13021
107,107,22,1.955024,48.7988245997422,première classe,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.955024 48.7988245997422),7356
108,108,22,1.955024,48.7988245997422,première classe,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.955024 48.7988245997422),7357
109,109,22,1.955024,48.7988245997422,première classe,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.955024 48.7988245997422),7482
110,110,22,1.955024,48.7988245997422,première classe,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.955024 48.7988245997422),7483
111,111,22,1.955024,48.7988245997422,première classe,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.955024 48.7988245997422),7608
