,Unnamed: 0,X,Y,com_insee,com_nom,Type,connexion_type,Type_détaillé,geometry,0
157,32,2.3370185,48.8809441997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3370185 48.8809441997218),12766
158,32,2.3370185,48.8809441997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3370185 48.8809441997218),12891
159,32,2.3370185,48.8809441997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3370185 48.8809441997218),12892
160,33,2.3419536,48.8755705997232,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3419536 48.8755705997232),12765
161,33,2.3419536,48.8755705997232,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3419536 48.8755705997232),12766
162,33,2.3419536,48.8755705997232,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3419536 48.8755705997232),12891
163,33,2.3419536,48.8755705997232,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3419536 48.8755705997232),12892
164,33,2.3419536,48.8755705997232,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3419536 48.8755705997232),13017
165,33,2.3419536,48.8755705997232,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3419536 48.8755705997232),13018
166,34,2.3765844,48.84811379973,75056.0,paris,internet_access,yes,Autre,POINT (2.3765844 48.84811379973),13272
167,34,2.3765844,48.84811379973,75056.0,paris,internet_access,yes,Autre,POINT (2.3765844 48.84811379973),13273
168,34,2.3765844,48.84811379973,75056.0,paris,internet_access,yes,Autre,POINT (2.3765844 48.84811379973),13398
169,34,2.3765844,48.84811379973,75056.0,paris,internet_access,yes,Autre,POINT (2.3765844 48.84811379973),13399
170,34,2.3765844,48.84811379973,75056.0,paris,internet_access,yes,Autre,POINT (2.3765844 48.84811379973),13525
171,35,2.2273598,48.868389199725,92073.0,suresnes,internet_access,wlan,Wifi,POINT (2.2273598 48.868389199725),11128
172,35,2.2273598,48.868389199725,92073.0,suresnes,internet_access,wlan,Wifi,POINT (2.2273598 48.868389199725),11129
173,35,2.2273598,48.868389199725,92073.0,suresnes,internet_access,wlan,Wifi,POINT (2.2273598 48.868389199725),11254
174,35,2.2273598,48.868389199725,92073.0,suresnes,internet_access,wlan,Wifi,POINT (2.2273598 48.868389199725),11255
175,35,2.2273598,48.868389199725,92073.0,suresnes,internet_access,wlan,Wifi,POINT (2.2273598 48.868389199725),11380
176,35,2.2273598,48.868389199725,92073.0,suresnes,internet_access,wlan,Wifi,POINT (2.2273598 48.868389199725),11381
177,36,2.2617833,48.8955489997182,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2617833 48.8955489997182),11629
