,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
1084,2.36256499542712,48.9456365307473,Bibliothèque universitaire,93066,Saint-Denis,library,Bibliothèque,POINT (2.36256499542712 48.9456365307473),13010
1084,2.36256499542712,48.9456365307473,Bibliothèque universitaire,93066,Saint-Denis,library,Bibliothèque,POINT (2.36256499542712 48.9456365307473),13135
1084,2.36256499542712,48.9456365307473,Bibliothèque universitaire,93066,Saint-Denis,library,Bibliothèque,POINT (2.36256499542712 48.9456365307473),13136
1084,2.36256499542712,48.9456365307473,Bibliothèque universitaire,93066,Saint-Denis,library,Bibliothèque,POINT (2.36256499542712 48.9456365307473),13262
1085,2.36817035837427,48.9284082147013,Médiathèque Ulysse,93066,Saint-Denis,library,Médiathèque,POINT (2.36817035837427 48.9284082147013),13137
1085,2.36817035837427,48.9284082147013,Médiathèque Ulysse,93066,Saint-Denis,library,Médiathèque,POINT (2.36817035837427 48.9284082147013),13138
1085,2.36817035837427,48.9284082147013,Médiathèque Ulysse,93066,Saint-Denis,library,Médiathèque,POINT (2.36817035837427 48.9284082147013),13263
1085,2.36817035837427,48.9284082147013,Médiathèque Ulysse,93066,Saint-Denis,library,Médiathèque,POINT (2.36817035837427 48.9284082147013),13264
1085,2.36817035837427,48.9284082147013,Médiathèque Ulysse,93066,Saint-Denis,library,Médiathèque,POINT (2.36817035837427 48.9284082147013),13390
1086,2.32021072576798,48.6367258197933,Médiathèque Marie Curie,91570,Saint-Michel-sur-Orge,library,Médiathèque,POINT (2.32021072576798 48.6367258197933),12540
1086,2.32021072576798,48.6367258197933,Médiathèque Marie Curie,91570,Saint-Michel-sur-Orge,library,Médiathèque,POINT (2.32021072576798 48.6367258197933),12541
1086,2.32021072576798,48.6367258197933,Médiathèque Marie Curie,91570,Saint-Michel-sur-Orge,library,Médiathèque,POINT (2.32021072576798 48.6367258197933),12666
1086,2.32021072576798,48.6367258197933,Médiathèque Marie Curie,91570,Saint-Michel-sur-Orge,library,Médiathèque,POINT (2.32021072576798 48.6367258197933),12667
1087,2.36546882790772,48.8053574342195,Bibliothèque Jeunesse Pasteur,94076,Villejuif,library,Bibliothèque,POINT (2.36546882790772 48.8053574342195),13151
1087,2.36546882790772,48.8053574342195,Bibliothèque Jeunesse Pasteur,94076,Villejuif,library,Bibliothèque,POINT (2.36546882790772 48.8053574342195),13152
1087,2.36546882790772,48.8053574342195,Bibliothèque Jeunesse Pasteur,94076,Villejuif,library,Bibliothèque,POINT (2.36546882790772 48.8053574342195),13277
1087,2.36546882790772,48.8053574342195,Bibliothèque Jeunesse Pasteur,94076,Villejuif,library,Bibliothèque,POINT (2.36546882790772 48.8053574342195),13278
1088,2.32813689872705,48.8542719909761,Bibliothèque de SciencesPo,75056,Paris,library,Bibliothèque,POINT (2.32813689872705 48.8542719909761),12516
