,X,Y,name,brand,operator,fuel_diesel,fuel_95,fuel_98,fuel_e10,fuel_gpl,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
16,1.9092547,49.0126420996892,Auchan,Auchan,Auchan,yes,,yes,yes,,78609.0,Tessancourt-sur-Aubette,fuel,,Station de carburant,POINT (1.9092547 49.0126420996892),6955
17,2.2456072,48.7281647997598,Total Access,Total Access,Total,yes,,yes,yes,,91377.0,Massy,fuel,,Station de carburant,POINT (2.2456072 48.7281647997598),11396
17,2.2456072,48.7281647997598,Total Access,Total Access,Total,yes,,yes,yes,,91377.0,Massy,fuel,,Station de carburant,POINT (2.2456072 48.7281647997598),11522
17,2.2456072,48.7281647997598,Total Access,Total Access,Total,yes,,yes,yes,,91377.0,Massy,fuel,,Station de carburant,POINT (2.2456072 48.7281647997598),11523
17,2.2456072,48.7281647997598,Total Access,Total Access,Total,yes,,yes,yes,,91377.0,Massy,fuel,,Station de carburant,POINT (2.2456072 48.7281647997598),11648
18,2.2728354,48.828114299735,ESSO Express,Esso Express,,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.2728354 48.828114299735),11763
18,2.2728354,48.828114299735,ESSO Express,Esso Express,,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.2728354 48.828114299735),11888
18,2.2728354,48.828114299735,ESSO Express,Esso Express,,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.2728354 48.828114299735),11889
18,2.2728354,48.828114299735,ESSO Express,Esso Express,,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.2728354 48.828114299735),12015
19,2.4169333,48.6496467997792,Relais Ris Orangis Libération,Total Access,Total,yes,,yes,yes,,91521.0,Ris-Orangis,fuel,,Station de carburant,POINT (2.4169333 48.6496467997792),13799
19,2.4169333,48.6496467997792,Relais Ris Orangis Libération,Total Access,Total,yes,,yes,yes,,91521.0,Ris-Orangis,fuel,,Station de carburant,POINT (2.4169333 48.6496467997792),13924
19,2.4169333,48.6496467997792,Relais Ris Orangis Libération,Total Access,Total,yes,,yes,yes,,91521.0,Ris-Orangis,fuel,,Station de carburant,POINT (2.4169333 48.6496467997792),13925
19,2.4169333,48.6496467997792,Relais Ris Orangis Libération,Total Access,Total,yes,,yes,yes,,91521.0,Ris-Orangis,fuel,,Station de carburant,POINT (2.4169333 48.6496467997792),14050
19,2.4169333,48.6496467997792,Relais Ris Orangis Libération,Total Access,Total,yes,,yes,yes,,91521.0,Ris-Orangis,fuel,,Station de carburant,POINT (2.4169333 48.6496467997792),14051
