,X,Y,nom,emplacements,com_insee,com_nom,Type,Type_détaillé,geometry,0
182,48.55582,3.3035572,,2.0,,,taxi,Taxi,POINT (48.55582046508789 3.3035571575164795),
183,48.85926,1.8755717,Gare de Beynes,,,,taxi,Taxi,POINT (48.85926055908203 1.8755717277526855),
184,48.8644,2.3303564,,,,,taxi,Taxi,POINT (48.86439895629883 2.3303563594818115),
185,48.513454,3.249864,,,,,taxi,Taxi,POINT (48.51345443725586 3.249864101409912),
186,48.82686,1.702797,,,,,taxi,Taxi,POINT (48.82685852050781 1.7027970552444458),
187,49.116993,2.3682485,,,,,taxi,Taxi,POINT (49.11699295043945 2.368248462677002),
188,48.810738,1.7646405,,4.0,,,taxi,Taxi,POINT (48.81073760986328 1.7646404504776),
189,49.032623,2.337536,,,,,taxi,Taxi,POINT (49.032623291015625 2.337536096572876),
190,48.953392,2.602366,,,,,taxi,Taxi,POINT (48.953392028808594 2.6023659706115723),
191,48.97628,2.3912122,,,,,taxi,Taxi,POINT (48.976280212402344 2.391212224960327),
192,48.984787,2.3533862,,,,,taxi,Taxi,POINT (48.98478698730469 2.353386163711548),
193,49.032246,2.6983123,,,,,taxi,Taxi,POINT (49.03224563598633 2.698312282562256),
194,48.902874,2.0733645,,,,,taxi,Taxi,POINT (48.90287399291992 2.073364496231079),
195,49.16238,1.9365866,Gare de Chars,,,,taxi,Taxi,POINT (49.16238021850586 1.936586618423462),
196,49.06273,2.0578477,,,,,taxi,Taxi,POINT (49.06272888183594 2.057847738265991),
197,48.943317,1.5420945,,,,,taxi,Taxi,POINT (48.94331741333008 1.5420944690704346),
198,48.971714,1.8484771,,,,,taxi,Taxi,POINT (48.97171401977539 1.8484771251678467),
199,48.70802,2.414017,,,,,taxi,Taxi,POINT (48.7080192565918 2.4140169620513916),
200,48.706707,2.483007,,,,,taxi,Taxi,POINT (48.70670700073242 2.4830069541931152),
201,48.883076,2.5264435,,,,,taxi,Taxi,POINT (48.88307571411133 2.5264434814453125),
202,48.88924,2.511256,,,,,taxi,Taxi,POINT (48.88924026489258 2.511255979537964),
203,48.89517,2.0702956,,,,,taxi,Taxi,POINT (48.89516830444336 2.070295572280884),
204,48.841385,2.062022,,,,,taxi,Taxi,POINT (48.84138488769531 2.0620219707489014),
205,49.00557,1.9019617,,3.0,,,taxi,Taxi,POINT (49.00556945800781 1.9019616842269897),
206,48.974644,2.0492156,,,,,taxi,Taxi,POINT (48.97464370727539 2.04921555519104),
207,48.992542,1.8458949,,,,,taxi,Taxi,POINT (48.9925422668457 1.8458949327468872),
208,48.988377,1.7031758,,5.0,,,taxi,Taxi,POINT (48.98837661743164 1.7031757831573486),
209,48.75295,2.5055716,Boissy-Saint-Léger RER,,,,taxi,Taxi,POINT (48.75294876098633 2.5055716037750244),
210,49.066185,2.3223276,Gare de Montsoult - Maffliers,,,,taxi,Taxi,POINT (49.066184997558594 2.3223276138305664),
211,48.90663,2.4496057,,,,,taxi,Taxi,POINT (48.90663146972656 2.449605703353882),
212,48.795616,2.6497066,,,,,taxi,Taxi,POINT (48.795616149902344 2.6497066020965576),
213,49.147877,2.2792192,,,,,taxi,Taxi,POINT (49.14787673950195 2.279219150543213),
214,49.02535,2.221988,,2.0,,,taxi,Taxi,POINT (49.02534866333008 2.2219879627227783),
215,48.88916,2.3938038,,,,,taxi,Taxi,POINT (48.88916015625 2.393803834915161),
216,48.946945,2.5237875,,,,,taxi,Taxi,POINT (48.94694519042969 2.523787498474121),
217,48.93141,2.4940338,,,,,taxi,Taxi,POINT (48.93141174316406 2.4940338134765625),
218,48.80675,2.1517758,,,,,taxi,Taxi,POINT (48.8067512512207 2.15177583694458),
219,48.827213,2.2005515,Gare de Sèvres Ville-d'Avray,,,,taxi,Taxi,POINT (48.827213287353516 2.2005515098571777),
220,48.799965,2.128471,,,,,taxi,Taxi,POINT (48.799964904785156 2.1284708976745605),
221,49.00088,1.6313415,,,,,taxi,Taxi,POINT (49.00088119506836 1.6313414573669434),
222,48.86809,2.3299623,Vendôme,,,,taxi,Taxi,POINT (48.86809158325195 2.3299622535705566),
223,48.869198,2.3546295,Strasbourg Saint-Denis,,,,taxi,Taxi,POINT (48.869197845458984 2.3546295166015625),
224,48.86593,2.3408573,Victoires,,,,taxi,Taxi,POINT (48.865928649902344 2.3408572673797607),
225,48.866257,2.3612125,Temple,,,,taxi,Taxi,POINT (48.86625671386719 2.3612124919891357),
226,48.84347,2.3236015,Gare Montparnasse,,,,taxi,Taxi,POINT (48.84347152709961 2.323601484298706),
227,48.840218,2.3365314,Port Royal,,,,taxi,Taxi,POINT (48.84021759033203 2.336531400680542),
228,48.851208,2.3331635,Saint-Sulpice,,,,taxi,Taxi,POINT (48.8512077331543 2.3331634998321533),
229,48.75551,1.9430878,,8.0,,,taxi,Taxi,POINT (48.75550842285156 1.9430878162384033),
230,48.838867,2.3823526,,,,,taxi,Taxi,POINT (48.8388671875 2.382352590560913),
231,48.83324,2.3329284,,,,,taxi,Taxi,POINT (48.8332405090332 2.332928419113159),
232,48.851505,2.3430786,,,,,taxi,Taxi,POINT (48.851505279541016 2.34307861328125),
233,48.831203,2.356553,,,,,taxi,Taxi,POINT (48.83120346069336 2.356553077697754),
234,48.732403,2.628566,,,,,taxi,Taxi,POINT (48.73240280151367 2.628566026687622),
235,48.881035,2.354048,,,,,taxi,Taxi,POINT (48.88103485107422 2.354048013687134),
236,48.879578,2.3490326,,,,,taxi,Taxi,POINT (48.87957763671875 2.3490326404571533),
237,48.838303,2.3198338,,,,,taxi,Taxi,POINT (48.83830261230469 2.319833755493164),
238,48.86746,2.3471327,,2.0,,,taxi,Taxi,POINT (48.86745834350586 2.347132682800293),
239,48.83127,2.3876593,,,,,taxi,Taxi,POINT (48.831268310546875 2.3876593112945557),
240,48.937332,2.3499646,,,,,taxi,Taxi,POINT (48.93733215332031 2.3499646186828613),
241,48.8206,2.2911096,,,,,taxi,Taxi,POINT (48.82059860229492 2.291109561920166),
242,48.864796,2.2065854,,,,,taxi,Taxi,POINT (48.86479568481445 2.20658540725708),
243,48.89575,2.2240283,,,,,taxi,Taxi,POINT (48.895748138427734 2.2240283489227295),
244,48.8587,2.3420105,,,,,taxi,Taxi,POINT (48.858699798583984 2.342010498046875),
245,48.980183,2.2715764,,,,,taxi,Taxi,POINT (48.98018264770508 2.271576404571533),
246,48.87734,2.2845223,,,,,taxi,Taxi,POINT (48.87733840942383 2.284522294998169),
247,48.51525,2.636353,,,,,taxi,Taxi,POINT (48.51525115966797 2.636353015899658),
248,48.93793,2.1580243,,,,,taxi,Taxi,POINT (48.937931060791016 2.158024311065674),
249,48.849907,2.2830749,,,,,taxi,Taxi,POINT (48.84990692138672 2.2830748558044434),
250,48.84573,2.313213,,,,,taxi,Taxi,POINT (48.84572982788086 2.3132131099700928),
251,48.8784,2.2841434,,,,,taxi,Taxi,POINT (48.87839889526367 2.2841434478759766),
252,48.86549,2.3564656,,,,,taxi,Taxi,POINT (48.8654899597168 2.3564655780792236),
253,48.87695,2.3609343,,,,,taxi,Taxi,POINT (48.876949310302734 2.360934257507324),
254,48.87713,2.3579595,,,,,taxi,Taxi,POINT (48.87712860107422 2.357959508895874),
255,48.838295,2.315268,,,,,taxi,Taxi,POINT (48.838294982910156 2.315268039703369),
256,48.796173,2.1361027,,,,,taxi,Taxi,POINT (48.796173095703125 2.1361026763916016),
257,48.73007,2.4458406,,,,,taxi,Taxi,POINT (48.73006820678711 2.44584059715271),
258,48.887726,2.1732993,,,,,taxi,Taxi,POINT (48.887725830078125 2.1732993125915527),
259,48.964,2.2854722,,,,,taxi,Taxi,POINT (48.9640007019043 2.2854721546173096),
260,48.898113,2.0944884,,,,,taxi,Taxi,POINT (48.89811325073242 2.0944883823394775),
261,49.00948,2.5615363,,,,,taxi,Taxi,POINT (49.00947952270508 2.5615363121032715),
262,48.84761,2.3528502,,,,,taxi,Taxi,POINT (48.84761047363281 2.3528501987457275),
263,48.87911,2.29098,,,,,taxi,Taxi,POINT (48.87910842895508 2.290980100631714),
264,48.85063,2.3843124,Hôpital Saint Antoine,,,,taxi,Taxi,POINT (48.85063171386719 2.384312391281128),
265,48.87537,2.314974,,,,,taxi,Taxi,POINT (48.875370025634766 2.314974069595337),
266,48.821785,2.414139,,,,,taxi,Taxi,POINT (48.82178497314453 2.4141390323638916),
267,49.015015,2.5411086,,,,,taxi,Taxi,POINT (49.0150146484375 2.5411086082458496),
268,48.836372,2.709685,,,,,taxi,Taxi,POINT (48.83637237548828 2.7096850872039795),
269,48.87249,2.3370347,,,,,taxi,Taxi,POINT (48.87248992919922 2.3370347023010254),
270,48.836094,2.4719927,,,,,taxi,Taxi,POINT (48.83609390258789 2.4719927310943604),
271,48.846775,2.4173567,,,,,taxi,Taxi,POINT (48.84677505493164 2.4173567295074463),
