,X,Y,name,access,changing_table,wheelchair,drinking_water,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
159,2.3835553,48.8556465997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3835553 48.8556465997281),13397
159,2.3835553,48.8556465997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3835553 48.8556465997281),13398
159,2.3835553,48.8556465997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3835553 48.8556465997281),13523
159,2.3835553,48.8556465997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3835553 48.8556465997281),13524
159,2.3835553,48.8556465997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3835553 48.8556465997281),13650
160,2.3776691,48.8541340997285,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3776691 48.8541340997285),13272
160,2.3776691,48.8541340997285,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3776691 48.8541340997285),13398
160,2.3776691,48.8541340997285,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3776691 48.8541340997285),13399
160,2.3776691,48.8541340997285,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3776691 48.8541340997285),13524
161,2.3936641,48.8495771997296,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3936641 48.8495771997296),13524
161,2.3936641,48.8495771997296,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3936641 48.8495771997296),13525
161,2.3936641,48.8495771997296,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3936641 48.8495771997296),13650
161,2.3936641,48.8495771997296,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3936641 48.8495771997296),13651
161,2.3936641,48.8495771997296,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3936641 48.8495771997296),13777
162,2.3937178,48.852140099729,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3937178 48.852140099729),13524
162,2.3937178,48.852140099729,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3937178 48.852140099729),13525
162,2.3937178,48.852140099729,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3937178 48.852140099729),13650
